City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,11.56,61,98,10.61,NZ,1682306908
1,flinders,-34.5833,150.8552,23.54,71,74,0.45,AU,1682306908
2,poronaysk,49.2167,143.1167,6.79,44,94,5.94,RU,1682306908
3,port elizabeth,-33.918,25.5701,18.39,92,20,3.09,ZA,1682306766
4,truckee,39.328,-120.1833,14.18,59,0,3.09,US,1682306909
5,quimper,48.0,-4.1,9.31,87,75,1.03,FR,1682306909
6,port alfred,-33.5906,26.891,21.45,61,100,2.0,ZA,1682306909
7,norman wells,65.282,-126.8329,-11.98,79,100,5.66,CA,1682306909
8,punta alta,-38.8759,-62.0736,14.48,56,0,3.02,AR,1682306909
9,arrecife,28.963,-13.5477,17.99,77,0,5.14,ES,1682306892
10,hermanus,-34.4187,19.2345,19.33,94,100,3.52,ZA,1682306909
11,thompson,55.7435,-97.8558,-0.91,55,20,1.54,CA,1682306910
12,avarua,-21.2078,-159.775,26.03,61,57,3.6,CK,1682306910
13,yellowknife,62.456,-114.3525,5.31,65,20,2.06,CA,1682306881
14,ushuaia,-54.8,-68.3,5.81,61,20,1.03,AR,1682306780
15,hobart,-42.8794,147.3294,20.92,45,0,3.6,AU,1682306671
16,hilo,19.7297,-155.09,25.85,80,100,4.63,US,1682306855
17,talnakh,69.4865,88.3972,1.23,83,97,3.72,RU,1682306910
18,north bend,43.4065,-124.2243,11.07,85,100,4.12,US,1682306911
19,dikson,73.5069,80.5464,0.88,85,94,7.44,RU,1682306911
20,meulaboh,4.1363,96.1285,29.1,74,99,1.03,ID,1682306911
21,carnarvon,-24.8667,113.6333,22.68,67,100,7.7,AU,1682306911
22,rikitea,-23.1203,-134.9692,26.57,84,100,7.19,PF,1682306911
23,grajau,-5.8194,-46.1386,22.96,84,98,1.44,BR,1682306912
24,hamilton,39.1834,-84.5333,5.69,71,100,1.54,US,1682306912
25,bredasdorp,-34.5322,20.0403,18.3,85,100,2.43,ZA,1682306912
26,zhanaozen,43.3,52.8,18.68,33,94,9.22,KZ,1682306912
27,albany,42.6001,-73.9662,6.24,84,100,4.92,US,1682306760
28,ola,59.5833,151.2833,2.34,72,100,6.45,RU,1682306912
29,talcahuano,-36.7167,-73.1167,11.82,100,100,2.57,CL,1682306912
30,khani,41.9563,42.9566,6.76,88,89,2.42,GE,1682306913
31,humaita,-7.5061,-63.0208,22.46,97,88,1.06,BR,1682306913
32,kavieng,-2.5744,150.7967,29.05,73,44,3.22,PG,1682306913
33,bashmakovo,53.2133,43.0342,10.32,58,97,2.01,RU,1682306913
34,cherskiy,68.75,161.3,2.67,89,2,1.94,RU,1682306913
35,rocha,-34.4833,-54.3333,15.9,97,100,1.98,UY,1682306913
36,tessalit,20.1986,1.0114,25.58,16,0,2.7,ML,1682306913
37,sao jose da coroa grande,-8.8978,-35.1478,24.96,84,89,3.31,BR,1682306913
38,cabo san lucas,22.8909,-109.9124,25.61,65,20,2.06,MX,1682306910
39,mahalapye,-23.1041,26.8142,17.5,32,70,1.54,BW,1682306914
40,porbandar,21.6422,69.6093,27.03,69,100,4.78,IN,1682306914
41,pozo colorado,-23.4923,-58.7972,17.11,86,0,1.81,PY,1682306914
42,cayenne,4.9333,-52.3333,24.02,100,100,0.0,GF,1682306827
43,kovilpatti,9.1667,77.8667,29.54,62,29,2.68,IN,1682306914
44,westport,41.1415,-73.3579,11.72,86,0,1.54,US,1682306648
45,bethel,41.3712,-73.414,10.17,87,40,0.89,US,1682306914
46,san quintin,30.4833,-115.95,14.4,81,2,2.0,MX,1682306915
47,kaitangata,-46.2817,169.8464,12.74,54,20,6.74,NZ,1682306915
48,punta arenas,-53.15,-70.9167,6.06,81,100,3.6,CL,1682306915
49,mataura,-46.1927,168.8643,11.38,70,39,4.2,NZ,1682306915
50,glendive,47.1053,-104.7125,4.79,48,0,3.6,US,1682306915
51,atuona,-9.8,-139.0333,27.53,77,8,5.92,PF,1682306915
52,kousseri,12.0769,15.0306,26.98,69,100,2.37,CM,1682306915
53,new norfolk,-42.7826,147.0587,20.72,38,2,1.32,AU,1682306916
54,kahului,20.8947,-156.47,28.01,62,20,3.09,US,1682306916
55,lebu,-37.6167,-73.65,11.17,86,6,4.19,CL,1682306916
56,mar del plata,-38.0023,-57.5575,16.08,92,100,0.0,AR,1682306916
57,bucerias,20.75,-105.3333,23.99,83,0,1.03,MX,1682306916
58,trapani,37.8333,12.6667,14.04,76,5,3.97,IT,1682306917
59,armidale,-30.5167,151.65,12.82,86,100,4.3,AU,1682306917
60,leningradskiy,69.3833,178.4167,-13.57,87,6,7.25,RU,1682306917
61,puro,12.4841,123.3827,29.72,67,21,4.57,PH,1682306917
62,grand-santi,4.25,-54.3833,22.74,99,100,1.0,GF,1682306918
63,tasiilaq,65.6145,-37.6368,-0.91,96,98,3.79,GL,1682306918
64,noshiro,40.2039,140.0242,11.46,36,8,9.48,JP,1682306918
65,key biscayne,25.6937,-80.1628,26.12,86,75,0.0,US,1682306918
66,ibimirim,-8.5406,-37.6903,20.4,82,93,3.03,BR,1682306918
67,zhigansk,66.7697,123.3711,-3.05,87,92,5.64,RU,1682306918
68,tiksi,71.6872,128.8694,-6.3,87,32,2.66,RU,1682306919
69,yining,29.0361,114.5636,10.95,91,100,0.9,CN,1682306919
70,chuy,-33.6971,-53.4616,17.39,95,65,2.48,UY,1682306919
71,te anau,-45.4167,167.7167,9.14,67,75,1.25,NZ,1682306835
72,aginskoye,51.1,114.53,2.93,16,100,6.5,RU,1682306919
73,olafsvik,64.8945,-23.7142,3.12,57,97,3.16,IS,1682306919
74,sande,53.5049,8.0142,11.23,91,71,8.5,DE,1682306920
75,puerto ayora,-0.7393,-90.3518,25.86,91,45,1.34,EC,1682306920
76,bambous virieux,-20.3428,57.7575,26.23,94,75,2.06,MU,1682306920
77,cap malheureux,-19.9842,57.6142,26.37,80,25,4.49,MU,1682306920
78,jamestown,42.097,-79.2353,5.77,87,100,2.57,US,1682306816
79,victoria,22.2855,114.1577,28.44,88,77,4.47,HK,1682306768
80,urumqi,43.801,87.6005,13.53,20,0,1.0,CN,1682306921
81,celestun,20.8667,-90.4,27.57,68,14,7.06,MX,1682306921
82,paamiut,61.994,-49.6678,0.62,85,83,5.74,GL,1682306921
83,niono,14.2526,-5.993,28.4,16,0,3.74,ML,1682306921
84,arraial do cabo,-22.9661,-42.0278,22.5,69,0,1.75,BR,1682306922
85,marfino,55.7028,37.3822,10.46,75,0,1.0,RU,1682306922
86,vaini,-21.2,-175.2,28.09,74,75,4.63,TO,1682306922
87,kodiak,57.79,-152.4072,1.73,48,100,9.26,US,1682306922
88,kieta,-6.2167,155.6333,29.65,72,27,2.13,PG,1682306922
89,padang,-0.9492,100.3543,30.03,67,62,1.31,ID,1682306922
90,amalapuram,16.5833,82.0167,31.41,60,1,2.48,IN,1682306922
91,kapaa,22.0752,-159.319,26.99,87,100,2.57,US,1682306922
92,beitbridge,-22.2167,30.0,19.11,84,4,4.96,ZW,1682306923
93,mattawa,46.7379,-119.9028,14.34,70,92,5.38,US,1682306923
94,lyuban,52.7985,28.0048,10.01,72,95,2.95,BY,1682306923
95,saldanha,-33.0117,17.9442,16.03,96,100,5.41,ZA,1682306923
96,qui nhon,13.7667,109.2333,29.03,69,100,3.61,VN,1682306923
97,waingapu,-9.6567,120.2641,29.02,69,59,6.62,ID,1682306923
98,pangody,65.85,74.4859,0.16,100,100,4.15,RU,1682306923
99,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1682306924
100,kaeo,-35.1,173.7833,17.96,65,0,5.67,NZ,1682306924
